"search-number","evaluation","cutoff12*","cutoff23*","cutoff34*","tauN*","tauU*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"21","7504","0.045","0.11499999999999999","0.995","0.2","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840437","50","0.840984"
"22","7504","0.275","0.055","0.9650000000000001","0.45","0.05","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.839891","50","0.8418034999999999"
"23","7504","0.005","0.08499999999999999","0.995","0.15000000000000002","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.839891","50","0.8423499999999999"
"24","7504","0.065","0.175","0.985","0.4","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840437","50","0.842077"
"25","7504","0.255","0.10500000000000001","0.985","0.1","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840437","50","0.8412569999999999"
