"search-number","evaluation","cutoff12*","cutoff23*","cutoff34*","tauN*","tauU*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"2","7","0.485","0.08499999999999999","0.995","0.35000000000000003","1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.82623","50","0.8281419999999999"
"2","21","0.085","0.7450000000000001","0.935","0.4","1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.429508","50","0.43688499999999997"
"2","63","0.034999999999999996","0.525","0.615","0.2","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.344809","50","0.328142"
"2","77","0.10500000000000001","0.535","0.895","1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.257377","50","0.263115"
"2","196","0.195","0.665","0.835","0.4","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.198361","50","0.2065575"
"2","490","0.115","0.445","0.595","0.2","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.186339","50","0.204645"
"2","630","0.125","0.445","0.595","0.2","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.171038","50","0.1579235"
"2","658","0.125","0.445","0.595","0.2","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.146448","50","0.15300550000000002"
"2","714","0.115","0.445","0.595","0.2","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.136066","50","0.16038249999999998"
"3","7","0.435","0.7550000000000001","0.9550000000000001","0.65","0.7000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.529508","50","0.518033"
"3","42","0.045","0.435","0.835","0.4","0.75","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.499454","50","0.498634"
"3","105","0.485","0.905","0.845","0.9500000000000001","0.75","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.31694","50","0.32131149999999997"
"3","217","0.135","0.545","0.905","0.45","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.310929","50","0.29972699999999997"
"3","224","0.295","0.5950000000000001","0.615","0.30000000000000004","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.296175","50","0.301093"
"3","322","0.20500000000000002","0.8150000000000001","0.885","0.9500000000000001","0.1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.140437","50","0.155738"
"3","567","0.20500000000000002","0.8150000000000001","0.885","1","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.104372","50","0.0860655"
"3","693","0.20500000000000002","0.8150000000000001","0.885","1","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.080328","50","0.083607"
"4","7","0.305","0.7050000000000001","0.675","0.05","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.566667","50","1.5532785"
"4","14","0.215","0.895","0.715","0.9500000000000001","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.942077","50","0.885246"
"4","21","0.295","0.8250000000000001","0.515","0.05","0.9500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.325137","50","0.325137"
"4","98","0.295","0.385","0.855","0.35000000000000003","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.314754","50","0.30191250000000003"
