"search-number","evaluation","cutoff12*","cutoff23*","cutoff34*","tauN*","tauU*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"21","7","0.295","0.635","0.725","0.45","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.793989","50","1.7822405"
"21","14","0.005","0.485","0.8049999999999999","0","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.375956","50","1.3748635"
"21","21","0.065","0.7050000000000001","0.905","0.9","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.167213","50","1.1860655"
"21","35","0.255","0.185","0.915","0.30000000000000004","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.868852","50","0.873497"
"21","56","0.465","0.225","0.995","0","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.863934","50","0.863388"
"21","182","0.07500000000000001","0.11499999999999999","0.7949999999999999","0.1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.852459","50","0.8554645000000001"
"21","399","0.255","0.075","0.915","0.30000000000000004","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.850273","50","0.849727"
"21","483","0.07500000000000001","0.11499999999999999","0.995","0.7000000000000001","0","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.848634","50","0.8508195"
"21","560","0.07500000000000001","0.11499999999999999","0.7949999999999999","0","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.844809","50","0.845355"
"21","581","0.255","0.075","0.915","0.15000000000000002","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.842623","50","0.842077"
"21","602","0.025","0.135","0.995","0","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.840984"
"21","3885","0.045","0.11499999999999999","0.995","0.2","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840437","50","0.840984"
"22","7","0.085","0.795","0.865","0.55","0.45","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.561202","50","1.528142"
"22","14","0.055","0.275","0.905","0.8500000000000001","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.12459","50","1.111202"
"22","21","0.115","0.155","0.835","0.30000000000000004","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.943716","50","0.9374315"
"22","56","0.34500000000000003","0.095","0.7949999999999999","0.05","1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.861202","50","0.8606555"
"22","154","0.245","0.11499999999999999","0.9650000000000001","0.4","0.05","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.842623","50","0.84153"
"22","455","0.34500000000000003","0.095","0.985","0.5","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.840984"
"22","952","0.275","0.11499999999999999","0.9650000000000001","0.4","0.05","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840437","50","0.84153"
"22","2156","0.275","0.055","0.9650000000000001","0.45","0.05","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.839891","50","0.8418034999999999"
"23","7","0.485","0.315","0.9750000000000001","0","0.25","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.021858","50","1.0254095"
"23","98","0.045","0.5650000000000001","0.995","0.75","0.45","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.92623","50","0.921858"
"23","112","0.005","0.08499999999999999","0.885","0","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.843169","50","0.844809"
"23","546","0.005","0.055","0.905","0.15000000000000002","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.842623","50","0.842077"
"23","609","0.005","0.055","0.895","0.15000000000000002","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.84153","50","0.843169"
"23","644","0.005","0.08499999999999999","0.9650000000000001","0","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.84153"
"23","1239","0.005","0.08499999999999999","0.9650000000000001","0","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840437","50","0.842077"
"23","2961","0.005","0.08499999999999999","0.995","0.15000000000000002","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.839891","50","0.8423499999999999"
"24","7","0.135","0.415","0.645","0.35000000000000003","0","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.566667","50","1.575683"
"24","35","0.065","0.395","0.595","0.1","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.34153","50","1.3316940000000002"
"24","56","0.225","0.365","0.895","0.15000000000000002","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.136066","50","1.127049"
"24","84","0.085","0.535","0.915","0.9500000000000001","0","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.060109","50","1.053825"
"24","168","0.47500000000000003","0.195","0.9450000000000001","0.2","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.899454","50","0.8893445"
"24","252","0.255","0.245","0.905","0","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.87541","50","0.8838794999999999"
"24","462","0.065","0.365","0.985","0.4","0.1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.84918","50","0.847541"
"24","546","0.255","0.245","0.985","0.4","0.1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.843169","50","0.844809"
"24","679","0.065","0.365","0.985","0.35000000000000003","0","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.842623","50","0.843716"
"24","749","0.065","0.175","0.985","0.4","0.1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.840984"
"24","1085","0.065","0.175","0.985","0.4","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840437","50","0.842077"
"25","7","0.28500000000000003","0.08499999999999999","0.935","0.5","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.929508","50","0.9196725"
"25","35","0.41500000000000004","0.135","0.9450000000000001","1","0.05","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.915847","50","0.924044"
"25","105","0.045","0.205","0.6950000000000001","0.1","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.906011","50","0.896175"
"25","154","0.005","0.475","0.995","0.45","0.9500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.895628","50","0.8991804999999999"
"25","175","0.005","0.235","0.985","0.15000000000000002","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.854645","50","0.8543715000000001"
"25","469","0.28500000000000003","0.08499999999999999","0.985","0.15000000000000002","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.840984"
"25","4564","0.255","0.10500000000000001","0.985","0.1","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840437","50","0.8412569999999999"
