"search-number","evaluation","tauN*","tauU*","cutoff12*","cutoff23*","cutoff34*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","num-replicates","best-fitness-so-far"
"8","350","0.30000000000000004","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.942623"
"9","7","0.65","0.9","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.389071"
"9","14","0.6000000000000001","0.35000000000000003","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.360109"
"9","28","0.30000000000000004","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.989071"
"10","7","0.15000000000000002","0.75","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.372131"
"10","35","0.4","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.125683"
"10","77","0.35000000000000003","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.022951"
"11","7","0.9500000000000001","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.36776"
"11","63","0.9","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.351913"
"11","70","0.4","0.1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.085792"
"11","84","0.4","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.078142"
"11","329","0.35000000000000003","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.038798"
"12","7","0.9","0.9","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.389071"
"12","21","0.15000000000000002","0.9","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.387978"
"12","28","0.25","0.45","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.260109"
"12","77","0.6000000000000001","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.24918"
"12","84","0.25","0.55","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.247541"
"12","147","0.45","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.159016"
"12","203","0.30000000000000004","0.35000000000000003","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.157377"
"12","308","0.30000000000000004","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.06776"
"13","7","0.65","0.8500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.392896"
"13","14","0","0.1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.359563"
"13","70","0.15000000000000002","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.338798"
"13","91","0.45","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.168306"
"13","154","0.35000000000000003","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.026776"
"13","196","0.35000000000000003","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.989617"
"14","7","0.4","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.118579"
"14","63","0.35000000000000003","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.037705"
"14","140","0.25","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.00929"
"15","7","0","0.8","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","1.397814"
