"search-number","evaluation","tauN*","tauU*","cutoff12*","cutoff23*","cutoff34*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"21","7","0.75","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.366667","7","0.366667","0.385792"
"21","14","0.8500000000000001","0.9500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.35847","7","0.35847","0.3494535"
"21","21","0.9500000000000001","0","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.393443","7","0.35847","0.3494535"
"21","28","0.35000000000000003","0.8500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.297814","7","0.297814","0.29535500000000003"
"21","35","0.35000000000000003","0.9500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.299454","7","0.297814","0.29535500000000003"
"21","42","1","0.5","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.355191","7","0.297814","0.29535500000000003"
"21","49","0.5","0.8","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.432787","7","0.297814","0.29535500000000003"
"21","56","1","0.9","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.353005","7","0.297814","0.29535500000000003"
"21","63","0.05","0.45","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.65847","7","0.297814","0.29535500000000003"
"21","70","0.45","0.8","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.430055","7","0.297814","0.29535500000000003"
"21","77","0.6000000000000001","0.5","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.391803","7","0.297814","0.29535500000000003"
"21","84","0.2","0.8500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.615847","7","0.297814","0.29535500000000003"
"21","91","0.1","0.9500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.66776","7","0.297814","0.29535500000000003"
"21","98","0.8500000000000001","0.9","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.347541","7","0.297814","0.29535500000000003"
"21","105","0.9500000000000001","0.7000000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.328962","7","0.297814","0.29535500000000003"
"21","112","0.9","0.7000000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.349727","7","0.297814","0.29535500000000003"
"21","119","0.6000000000000001","0.25","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.356831","7","0.297814","0.29535500000000003"
"21","126","0.7000000000000001","0.55","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.344809","7","0.297814","0.29535500000000003"
"21","133","0.30000000000000004","0.2","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.521858","7","0.297814","0.29535500000000003"
"21","140","0.9500000000000001","0.15000000000000002","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.411475","7","0.297814","0.29535500000000003"
"21","147","0.55","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.328962","7","0.297814","0.29535500000000003"
"21","154","0.9500000000000001","0.9500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.332787","7","0.297814","0.29535500000000003"
"21","161","0.7000000000000001","0.1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.359016","7","0.297814","0.29535500000000003"
"21","168","0.9500000000000001","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.384153","7","0.297814","0.29535500000000003"
"21","175","0.75","0.35000000000000003","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.391803","7","0.297814","0.29535500000000003"
"21","182","0.8","0.4","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.35082","7","0.297814","0.29535500000000003"
"21","189","0.1","0.75","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.660109","7","0.297814","0.29535500000000003"
"21","196","1","0.9500000000000001","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.345902","7","0.297814","0.29535500000000003"
"21","203","0.65","0.05","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.369399","7","0.297814","0.29535500000000003"
"21","210","0.65","0.4","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.391803","7","0.297814","0.29535500000000003"
"21","217","0.1","0.30000000000000004","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","0.626776","7","0.297814","0.29535500000000003"
