"search-number","evaluation","tauN*","tauU*","cutoff12*","cutoff23*","cutoff34*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"21","1988","0.4","0.55","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.244809","50","0.26120200000000005"
"22","1883","0.4","0.45","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.246995","50","0.258743"
"23","1561","0.4","0.5","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.237705","50","0.247541"
"24","1043","0.35000000000000003","1","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.284153","50","0.297541"
"25","1659","0.4","0.5","0.105","0.495","0.875","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.246448","50","0.245082"
