"search-number","evaluation","evals-requested-so-far","cutoff12*","cutoff23*","cutoff34*","tauN*","tauU*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","350","0.305","0.5950000000000001","0.985","0.5","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""1994155702""","0.570492","0.570492","0.570492","0","0.570492"
"1","2","350","0.305","0.5950000000000001","0.985","0.5","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""829354711""","0.569399","0.569399","0.569399","0","0.569399"
"1","3","350","0.305","0.5950000000000001","0.985","0.5","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1782862738""","0.595082","0.595082","0.595082","0","0.595082"
"1","4","350","0.305","0.5950000000000001","0.985","0.5","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1696060066""","0.603279","0.603279","0.603279","0","0.603279"
"1","5","350","0.305","0.5950000000000001","0.985","0.5","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1783359203""","0.610383","0.610383","0.610383","0","0.610383"
"1","6","350","0.305","0.5950000000000001","0.985","0.5","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""-2141491760""","0.586339","0.586339","0.586339","0","0.586339"
"1","7","350","0.305","0.5950000000000001","0.985","0.5","0.8500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""1404279458""","0.597814","0.597814","0.597814","0","0.597814"
"1","8","350","0.14500000000000002","0.125","0.845","0.1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""-821214030""","0.819672","0.819672","0.819672","0","0.819672"
"1","9","350","0.14500000000000002","0.125","0.845","0.1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""2060319752""","0.820219","0.820219","0.820219","0","0.820219"
"1","10","350","0.14500000000000002","0.125","0.845","0.1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""2091748565""","0.824044","0.824044","0.824044","0","0.824044"
"1","11","350","0.14500000000000002","0.125","0.845","0.1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1094279073""","0.827322","0.827322","0.827322","0","0.827322"
"1","12","350","0.14500000000000002","0.125","0.845","0.1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""1467332941""","0.813115","0.813115","0.813115","0","0.813115"
"1","13","350","0.14500000000000002","0.125","0.845","0.1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""1462655762""","0.822404","0.822404","0.822404","0","0.822404"
"1","14","350","0.14500000000000002","0.125","0.845","0.1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","""1348882203""","0.818579","0.818579","0.818579","0","0.818579"
"1","15","350","0.405","0.925","0.625","1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1944189797""","1.04918","1.04918","1.04918","0","1.04918"
"1","16","350","0.405","0.925","0.625","1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","""-467454146""","1.101639","1.101639","1.101639","0","1.101639"
"1","17","350","0.405","0.925","0.625","1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","""-615708418""","0.954645","0.954645","0.954645","0","0.954645"
"1","18","350","0.405","0.925","0.625","1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","""581006589""","1.042077","1.042077","1.042077","0","1.042077"
"1","19","350","0.405","0.925","0.625","1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1684387400""","1.006557","1.006557","1.006557","0","1.006557"
"1","20","350","0.405","0.925","0.625","1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1426107131""","0.953552","0.953552","0.953552","0","0.953552"
"1","21","350","0.405","0.925","0.625","1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1363770516""","0.953552","0.953552","0.953552","0","0.953552"
"1","22","350","0.215","0.165","0.6950000000000001","0.45","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","""687414714""","1.104372","1.104372","1.104372","0","1.104372"
"1","23","350","0.215","0.165","0.6950000000000001","0.45","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","""2075670665""","1.161749","1.161749","1.161749","0","1.161749"
"1","24","350","0.215","0.165","0.6950000000000001","0.45","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","""1902662126""","1.112568","1.112568","1.112568","0","1.112568"
"1","25","350","0.215","0.165","0.6950000000000001","0.45","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","""1840851995""","1.080874","1.080874","1.080874","0","1.080874"
"1","26","350","0.215","0.165","0.6950000000000001","0.45","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","""2054820743""","1.080874","1.080874","1.080874","0","1.080874"
"1","27","350","0.215","0.165","0.6950000000000001","0.45","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1615869445""","1.069945","1.069945","1.069945","0","1.069945"
"1","28","350","0.215","0.165","0.6950000000000001","0.45","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","""382769268""","1.12623","1.12623","1.12623","0","1.12623"
"1","29","350","0.155","0.435","0.885","0.55","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","""-135139387""","0.315301","0.315301","0.315301","0","0.315301"
"1","30","350","0.155","0.435","0.885","0.55","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","""1492955558""","0.315301","0.315301","0.315301","0","0.315301"
"1","31","350","0.155","0.435","0.885","0.55","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","""197153099""","0.354645","0.354645","0.354645","0","0.354645"
"1","32","350","0.155","0.435","0.885","0.55","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","""1277676807""","0.395628","0.395628","0.395628","0","0.395628"
"1","33","350","0.155","0.435","0.885","0.55","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","""-783309603""","0.352459","0.352459","0.352459","0","0.352459"
"1","34","350","0.155","0.435","0.885","0.55","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","""-1677242421""","0.274863","0.274863","0.274863","0","0.274863"
