"search-number","evaluation","cutoff12*","cutoff23*","cutoff34*","tauN*","tauU*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"2","7","0.485","0.08499999999999999","0.995","0.35000000000000003","1","0.1","3","1.05","0.1","0","false","100","105","true","false","0.82623","7","0.82623","0.8281419999999999"
"2","14","0.055","0.905","0.585","0.4","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","0.918579","7","0.82623","0.8281419999999999"
"2","21","0.085","0.7450000000000001","0.935","0.4","1","0.1","3","1.05","0.1","0","false","100","105","true","false","0.429508","7","0.429508","0.43688499999999997"
"2","28","0.17500000000000002","0.475","0.825","0.6000000000000001","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","0.581967","7","0.429508","0.43688499999999997"
"2","35","0.085","0.175","0.935","0.35000000000000003","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","0.805464","7","0.429508","0.43688499999999997"
"2","42","0.34500000000000003","0.435","0.745","0.8500000000000001","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","0.911475","7","0.429508","0.43688499999999997"
"2","49","0.465","0.8450000000000001","0.935","0.2","0","0.1","3","1.05","0.1","0","false","100","105","true","false","2.115301","7","0.429508","0.43688499999999997"
"2","56","0.405","0.8650000000000001","0.625","0","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","1.420765","7","0.429508","0.43688499999999997"
"2","63","0.034999999999999996","0.525","0.615","0.2","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","0.344809","7","0.344809","0.328142"
"2","70","0.275","0.7350000000000001","0.595","0.30000000000000004","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","0.349727","7","0.344809","0.328142"
"2","77","0.10500000000000001","0.535","0.895","1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","0.257377","7","0.257377","0.263115"
"2","84","0.34500000000000003","0.165","0.535","0.30000000000000004","0.9500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","0.654645","7","0.257377","0.263115"
"2","91","0.305","0.795","0.595","0.15000000000000002","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","0.761749","7","0.257377","0.263115"
"2","98","0.41500000000000004","0.475","0.825","0.75","0.55","0.1","3","1.05","0.1","0","false","100","105","true","false","0.637705","7","0.257377","0.263115"
"2","105","0.435","0.245","0.665","0.35000000000000003","0.55","0.1","3","1.05","0.1","0","false","100","105","true","false","0.634426","7","0.257377","0.263115"
"2","112","0.085","0.125","0.515","0.9500000000000001","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.233333","7","0.257377","0.263115"
"2","119","0.405","0.6150000000000001","0.985","0.15000000000000002","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","1.418579","7","0.257377","0.263115"
"2","126","0.315","0.5750000000000001","0.995","0.6000000000000001","0.05","0.1","3","1.05","0.1","0","false","100","105","true","false","0.628962","7","0.257377","0.263115"
"2","133","0.385","0.425","0.925","0.2","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","0.542077","7","0.257377","0.263115"
"2","140","0.155","0.325","0.875","0.30000000000000004","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","0.565574","7","0.257377","0.263115"
"2","147","0.385","0.345","0.8049999999999999","0.15000000000000002","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","0.584153","7","0.257377","0.263115"
"2","154","0.17500000000000002","0.7050000000000001","0.685","0","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","1.723497","7","0.257377","0.263115"
