"search-number","evaluation","cutoff12*","cutoff23*","cutoff34*","tauN*","tauU*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"21","7","0.295","0.635","0.725","0.45","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","1.793989","7","1.793989","1.7822405"
"21","14","0.005","0.485","0.8049999999999999","0","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","1.375956","7","1.375956","1.3748635"
"21","21","0.065","0.7050000000000001","0.905","0.9","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","1.167213","7","1.167213","1.1860655"
"21","28","0.135","0.435","0.515","0.15000000000000002","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","1.57541","7","1.167213","1.1860655"
"21","35","0.255","0.185","0.915","0.30000000000000004","0.4","0.1","3","1.05","0.1","0","false","100","105","true","false","0.868852","7","0.868852","0.873497"
"21","42","0.155","0.7050000000000001","0.885","0.2","0.55","0.1","3","1.05","0.1","0","false","100","105","true","false","1.856284","7","0.868852","0.873497"
"21","49","0.335","0.7250000000000001","0.9750000000000001","0.30000000000000004","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","1.770492","7","0.868852","0.873497"
"21","56","0.465","0.225","0.995","0","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","0.863934","7","0.863934","0.863388"
"21","63","0.20500000000000002","0.345","0.755","0.05","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.089617","7","0.863934","0.863388"
"21","70","0.215","0.305","0.565","0.25","0.25","0.1","3","1.05","0.1","0","false","100","105","true","false","1.301639","7","0.863934","0.863388"
"21","77","0.265","0.6250000000000001","0.9550000000000001","0.55","0.55","0.1","3","1.05","0.1","0","false","100","105","true","false","1.096721","7","0.863934","0.863388"
"21","84","0.17500000000000002","0.935","0.635","0.45","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","1.706557","7","0.863934","0.863388"
"21","91","0.07500000000000001","0.175","0.545","0.8500000000000001","0.55","0.1","3","1.05","0.1","0","false","100","105","true","false","1.642077","7","0.863934","0.863388"
"21","98","0.015","0.665","0.565","0.6000000000000001","0.75","0.1","3","1.05","0.1","0","false","100","105","true","false","1.672131","7","0.863934","0.863388"
"21","105","0.005","0.915","0.665","0.1","0.05","0.1","3","1.05","0.1","0","false","100","105","true","false","1.930601","7","0.863934","0.863388"
"21","112","0.005","0.365","0.985","0.7000000000000001","0","0.1","3","1.05","0.1","0","false","100","105","true","false","0.87541","7","0.863934","0.863388"
"21","119","0.255","0.215","0.645","0.65","0.45","0.1","3","1.05","0.1","0","false","100","105","true","false","1.730055","7","0.863934","0.863388"
"21","126","0.385","0.445","0.7949999999999999","0.65","0.55","0.1","3","1.05","0.1","0","false","100","105","true","false","1.729508","7","0.863934","0.863388"
"21","133","0.215","0.685","0.665","0.75","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","1.797268","7","0.863934","0.863388"
"21","140","0.025","0.7050000000000001","0.575","0.9500000000000001","0.45","0.1","3","1.05","0.1","0","false","100","105","true","false","1.662295","7","0.863934","0.863388"
"21","147","0.47500000000000003","0.635","0.815","0.1","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","3.111475","7","0.863934","0.863388"
"21","154","0.465","0.415","0.515","1","0.7000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.838251","7","0.863934","0.863388"
"21","161","0.005","0.215","0.775","0.05","0.55","0.1","3","1.05","0.1","0","false","100","105","true","false","0.89235","7","0.863934","0.863388"
"21","168","0.255","0.635","0.865","0.9500000000000001","0.1","0.1","3","1.05","0.1","0","false","100","105","true","false","1.565027","7","0.863934","0.863388"
"21","175","0.125","0.7050000000000001","0.855","0.35000000000000003","0","0.1","3","1.05","0.1","0","false","100","105","true","false","1.317486","7","0.863934","0.863388"
"21","182","0.07500000000000001","0.11499999999999999","0.7949999999999999","0.1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","0.852459","7","0.852459","0.8554645000000001"
"21","189","0.295","0.5750000000000001","0.995","0.8500000000000001","0.05","0.1","3","1.05","0.1","0","false","100","105","true","false","1.035519","7","0.852459","0.8554645000000001"
"21","196","0.115","0.895","0.575","1","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","1.748087","7","0.852459","0.8554645000000001"
"21","203","0.47500000000000003","0.165","0.645","0.8500000000000001","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","1.708197","7","0.852459","0.8554645000000001"
"21","210","0.385","0.525","0.685","0.9","1","0.1","3","1.05","0.1","0","false","100","105","true","false","1.843716","7","0.852459","0.8554645000000001"
"21","217","0.195","0.765","0.555","0.75","0.6000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.796175","7","0.852459","0.8554645000000001"
"21","224","0.405","0.305","0.635","0.15000000000000002","0.9500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.336066","7","0.852459","0.8554645000000001"
"21","231","0.165","0.195","0.995","0.75","0.8","0.1","3","1.05","0.1","0","false","100","105","true","false","0.992896","7","0.852459","0.8554645000000001"
"21","238","0.455","0.435","0.565","0.9","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","1.802732","7","0.852459","0.8554645000000001"
"21","245","0.135","0.8450000000000001","0.865","0.8500000000000001","0.45","0.1","3","1.05","0.1","0","false","100","105","true","false","1.728415","7","0.852459","0.8554645000000001"
"21","252","0.025","0.345","0.925","0.1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","0.953552","7","0.852459","0.8554645000000001"
"21","259","0.20500000000000002","0.775","0.7949999999999999","0.5","0.5","0.1","3","1.05","0.1","0","false","100","105","true","false","1.769399","7","0.852459","0.8554645000000001"
"21","266","0.10500000000000001","0.8250000000000001","0.755","0.55","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","1.710383","7","0.852459","0.8554645000000001"
"21","273","0.015","0.355","0.835","0.1","0.35000000000000003","0.1","3","1.05","0.1","0","false","100","105","true","false","0.985246","7","0.852459","0.8554645000000001"
"21","280","0.065","0.645","0.6950000000000001","0.5","0.9","0.1","3","1.05","0.1","0","false","100","105","true","false","1.660109","7","0.852459","0.8554645000000001"
"21","287","0.335","0.375","0.7949999999999999","0.4","0.7000000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.608197","7","0.852459","0.8554645000000001"
"21","294","0.125","0.405","0.7050000000000001","0.7000000000000001","0.9500000000000001","0.1","3","1.05","0.1","0","false","100","105","true","false","1.70765","7","0.852459","0.8554645000000001"
"21","301","0.155","0.065","0.515","0.8500000000000001","0.45","0.1","3","1.05","0.1","0","false","100","105","true","false","1.618579","7","0.852459","0.8554645000000001"
"21","308","0.485","0.255","0.525","0.25","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","1.478142","7","0.852459","0.8554645000000001"
