"search-number","evaluation","cutoff12*","cutoff23*","cutoff34*","tauN*","tauU*","randomLinks*","closeLinks*","sortingprice*","pReverseSorting*","sigma*","randomseed?*","rs*","steps*","recalculateNit?*","homophily?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"21","7504","0.025","0.135","0.995","0","0.2","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.840984"
"22","7504","0.34500000000000003","0.095","0.985","0.5","0.15000000000000002","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.840984"
"23","7504","0.005","0.08499999999999999","0.9650000000000001","0","0.65","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.84153"
"24","7504","0.065","0.175","0.985","0.4","0.1","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.840984"
"25","7504","0.28500000000000003","0.08499999999999999","0.985","0.15000000000000002","0.30000000000000004","0.1","3","1.05","0.1","0","false","100","105","true","false","7","0.840984","50","0.840984"
